ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
116,116:8,116:8,114:8,116:8,,,
116,116:9,116:9,114:9,116:9,,,
116,116:10,116:10,115:1,116:10,,,
116,116:11,116:11,115:2,116:11,,,
116,116:12,116:12,115:3,116:12,,,
116,116:13,116:13,115:4,116:13,,,
116,,,115:4a,,,,
116,116:14,116:14,115:5,116:14,,,
116,116:15,116:15,115:6,116:15,,,
116,116:16,116:16,115:7,116:16,,,
116,116:17,116:17,115:8,116:17,,,
116,116:18,116:18,115:9,116:18,,,
116,116:19,116:19,115:10,116:19,,,
117,117:1,117:1,116:1,117:1,,,
117,117:2,117:2,116:2,117:2,,,
118,118:1,118:1,117:1,118:1,,,
118,118:2,118:2,117:2,118:2,,,
118,118:3,118:3,117:3,118:3,,,
118,118:4,118:4,117:4,118:4,,,
118,118:5,118:5,117:5,118:5,,,
118,118:6,118:6,117:6,118:6,,,
118,118:7,118:7,117:7,118:7,,,
118,118:8,118:8,117:8,118:8,,,
118,118:9,118:9,117:9,118:9,,,
118,118:10,118:10,117:10,118:10,,,
118,118:11,118:11,117:11,118:11,,,
118,118:12,118:12,117:12,118:12,,,
118,118:13,118:13,117:13,118:13,,,
118,118:14,118:14,117:14,118:14,,,
118,118:15,118:15,117:15,118:15,,,
118,118:16,118:16,117:16,118:16,,,
118,118:17,118:17,117:17,118:17,,,
118,118:18,118:18,117:18,118:18,,,
118,118:19,118:19,117:19,118:19,,,
118,118:20,118:20,117:20,118:20,,,
118,118:21,118:21,117:21,118:21,,,
118,118:22,118:22,117:22,118:22,,,
118,118:23,118:23,117:23,118:23,,,
118,118:24,118:24,117:24,118:24,,,
118,118:25,118:25,117:25,118:25,,,
118,118:26,118:26,117:26,118:26,,,
118,118:27,118:27,117:27,118:27,,,
118,118:28,118:28,117:28,118:28,,,
118,118:29,118:29,117:29,118:29,,,
119,119:0-119:1,119:0-119:1,118:1,119:0,,,
119,119:2,119:2,118:2,119:2,,,
119,119:3,119:3,118:3,119:3,,,
119,119:4,119:4,118:4,119:4,,,
119,119:5,119:5,118:5,119:5,,,
119,119:6,119:6,118:6,119:6,,,
119,119:7,119:7,118:7,119:7,,,
119,119:8,119:8,118:8,119:8,,,
119,119:9,119:9,118:9,119:9,,,
119,119:10,119:10,118:10,119:10,,,
119,119:11,119:11,118:11,119:11,,,
119,119:12,119:12,118:12,119:12,,,
119,119:13,119:13,118:13,119:13,,,
119,119:14,119:14,118:14,119:14,,,
119,119:15,119:15,118:15,119:15,,,
119,119:16,119:16,118:16,119:16,,,
119,119:17,119:17,118:17,119:17,,,
119,119:18,119:18,118:18,119:18,,,
119,119:19,119:19,118:19,119:19,,,
119,119:20,119:20,118:20,119:20,,,
119,119:21,119:21,118:21,119:21,,,
119,119:22,119:22,118:22,119:22,,,
119,119:23,119:23,118:23,119:23,,,
119,119:24,119:24,118:24,119:24,,,
119,119:25,119:25,118:25,119:25,,,
119,119:26,119:26,118:26,119:26,,,
119,119:27,119:27,118:27,119:27,,,
119,119:28,119:28,118:28,119:28,,,
119,119:29,119:29,118:29,119:29,,,
119,119:30,119:30,118:30,119:30,,,
119,119:31,119:31,118:31,119:31,,,
119,119:32,119:32,118:32,119:32,,,
119,119:33,119:33,118:33,119:33,,,
119,119:34,119:34,118:34,119:34,,,
119,119:35,119:35,118:35,119:35,,,
119,119:36,119:36,118:36,119:36,,,
119,119:37,119:37,118:37,119:37,,,
119,119:38,119:38,118:38,119:38,,,
119,119:39,119:39,118:39,119:39,,,
119,119:40,119:40,118:40,119:40,,,
119,119:41,119:41,118:41,119:41,,,
119,119:42,119:42,118:42,119:42,,,
119,119:43,119:43,118:43,119:43,,,
119,119:44,119:44,118:44,119:44,,,
119,119:45,119:45,118:45,119:45,,,
119,119:46,119:46,118:46,119:46,,,
119,119:47,119:47,118:47,119:47,,,
119,119:48,119:48,118:48,119:48,,,
119,119:49,119:49,118:49,119:49,,,
119,119:50,119:50,118:50,119:50,,,
119,119:51,119:51,118:51,119:51,,,
119,119:52,119:52,118:52,119:52,,,
119,119:53,119:53,118:53,119:53,,,
119,119:54,119:54,118:54,119:54,,,
119,119:55,119:55,118:55,119:55,,,
119,119:56,119:56,118:56,119:56,,,
119,119:57,119:57,118:57,119:57,,,
119,119:58,119:58,118:58,119:58,,,
119,119:59,119:59,118:59,119:59,,,
119,119:60,119:60,118:60,119:60,,,
119,119:61,119:61,118:61,119:61,,,
119,119:62,119:62,118:62,119:62,,,
119,119:63,119:63,118:63,119:63,,,
119,119:64,119:64,118:64,119:64,,,
119,119:65,119:65,118:65,119:65,,,
119,119:66,119:66,118:66,119:66,,,
119,119:67,119:67,118:67,119:67,,,
119,119:68,119:68,118:68,119:68,,,
119,119:69,119:69,118:69,119:69,,,
119,119:70,119:70,118:70,119:70,,,
119,119:71,119:71,118:71,119:71,,,
119,119:72,119:72,118:72,119:72,,,
119,119:73,119:73,118:73,119:73,,,
119,119:74,119:74,118:74,119:74,,,
119,119:75,119:75,118:75,119:75,,,
119,119:76,119:76,118:76,119:76,,,
119,119:77,119:77,118:77,119:77,,,
119,119:78,119:78,118:78,119:78,,,
119,119:79,119:79,118:79,119:79,,,
119,119:80,119:80,118:80,119:80,,,
119,119:81,119:81,118:81,119:81,,,
119,119:82,119:82,118:82,119:82,,,
119,119:83,119:83,118:83,119:83,,,
119,119:84,119:84,118:84,119:84,,,
119,119:85,119:85,118:85,119:85,,,
119,119:86,119:86,118:86,119:86,,,
119,119:87,119:87,118:87,119:87,,,
119,119:88,119:88,118:88,119:88,,,
119,119:89,119:89,118:89,119:89,,,
119,119:90,119:90,118:90,119:90,,,
119,119:91,119:91,118:91,119:91,,,
119,119:92,119:92,118:92,119:92,,,
119,119:93,119:93,118:93,119:93,,,
119,119:94,119:94,118:94,119:94,,,
119,119:95,119:95,118:95,119:95,,,
119,119:96,119:96,118:96,119:96,,,
119,119:97,119:97,118:97,119:97,,,
119,119:98,119:98,118:98,119:98,,,
119,119:99,119:99,118:99,119:99,,,
119,119:100,119:100,118:100,119:100,,,
119,119:101,119:101,118:101,119:101,,,
119,119:102,119:102,118:102,119:102,,,
119,119:103,119:103,118:103,119:103,,,
119,119:104,119:104,118:104,119:104,,,
119,119:105,119:105,118:105,119:105,,,
119,119:106,119:106,118:106,119:106,,,
119,119:107,119:107,118:107,119:107,,,
119,119:108,119:108,118:108,119:108,,,
119,119:109,119:109,118:109,119:109,,,
119,119:110,119:110,118:110,119:110,,,
119,119:111,119:111,118:111,119:111,,,
119,119:112,119:112,118:112,119:112,,,
119,119:113,119:113,118:113,119:113,,,
119,119:114,119:114,118:114,119:114,,,
119,119:115,119:115,118:115,119:115,,,
119,119:116,119:116,118:116,119:116,,,
119,119:117,119:117,118:117,119:117,,,
119,119:118,119:118,118:118,119:118,,,
119,119:119,119:119,118:119,119:119,,,
119,119:120,119:120,118:120,119:120,,,
119,119:121,119:121,118:121,119:121,,,
119,119:122,119:122,118:122,119:122,,,
119,119:123,119:123,118:123,119:123,,,
119,119:124,119:124,118:124,119:124,,,
119,119:125,119:125,118:125,119:125,,,
119,119:126,119:126,118:126,119:126,,,
119,119:127,119:127,118:127,119:127,,,
119,119:128,119:128,118:128,119:128,,,
119,119:129,119:129,118:129,119:129,,,
119,119:130,119:130,118:130,119:130,,,
119,119:131,119:131,118:131,119:131,,,
119,119:132,119:132,118:132,119:132,,,
119,119:133,119:133,118:133,119:133,,,
119,119:134,119:134,118:134,119:134,,,
119,119:135,119:135,118:135,119:135,,,
119,119:136,119:136,118:136,119:136,,,
119,119:137,119:137,118:137,119:137,,,
119,119:138,119:138,118:138,119:138,,,
119,119:139,119:139,118:139,119:139,,,
119,119:140,119:140,118:140,119:140,,,
119,119:141,119:141,118:141,119:141,,,
119,119:142,119:142,118:142,119:142,,,
119,119:143,119:143,118:143,119:143,,,
119,119:144,119:144,118:144,119:144,,,
119,119:145,119:145,118:145,119:145,,,
119,119:146,119:146,118:146,119:146,,,
119,119:147,119:147,118:147,119:147,,,
119,119:148,119:148,118:148,119:148,,,
119,119:149,119:149,118:149,119:149,,,
119,119:150,119:150,118:150,119:150,,,
119,119:151,119:151,118:151,119:151,,,
119,119:152,119:152,118:152,119:152,,,
119,119:153,119:153,118:153,119:153,,,
119,119:154,119:154,118:154,119:154,,,
119,119:155,119:155,118:155,119:155,,,
119,119:156,119:156,118:156,119:156,,,
119,119:157,119:157,118:157,119:157,,,
119,119:158,119:158,118:158,119:158,,,
119,119:159,119:159,118:159,119:159,,,
119,119:160,119:160,118:160,119:160,,,
119,119:161,119:161,118:161,119:161,,,
119,119:162,119:162,118:162,119:162,,,
119,119:163,119:163,118:163,119:163,,,
119,119:164,119:164,118:164,119:164,,,
119,119:165,119:165,118:165,119:165,,,
119,119:166,119:166,118:166,119:166,,,
119,119:167,119:167,118:167,119:167,,,
119,119:168,119:168,118:168,119:168,,,
119,119:169,119:169,118:169,119:169,,,
119,119:170,119:170,118:170,119:170,,,
119,119:171,119:171,118:171,119:171,,,
119,119:172,119:172,118:172,119:172,,,
119,119:173,119:173,118:173,119:173,,,
119,119:174,119:174,118:174,119:174,,,
119,119:175,119:175,118:175,119:175,,,
119,119:176,119:176,118:176,119:176,,,
120,120:0-120:1,120:0-120:1,119:1,120:0,,,
120,120:2,120:2,119:2,120:2,,,
120,120:3,120:3,119:3,120:3,,,
120,120:4,120:4,119:4,120:4,,,
120,120:5,120:5,119:5,120:5,,,
120,120:6,120:6,119:6,120:6,,,
120,120:7,120:7,119:7,120:7,,,
121,121:0-121:1,121:0-121:1,120:1,121:0,,,
121,121:2,121:2,120:2,121:2,,,
121,121:3,121:3,120:3,121:3,,,
121,121:4,121:4,120:4,121:4,,,
121,121:5,121:5,120:5,121:5,,,
121,121:6,121:6,120:6,121:6,,,
121,121:7,121:7,120:7,121:7,,,
121,121:8,121:8,120:8,121:8,,,
122,122:0-122:1,122:0-122:1,121:1,122:0,,,
122,122:2,122:2,121:2,122:2,,,
122,122:3,122:3,121:3,122:3,,,
122,122:4,122:4,121:4,122:4,,,
122,122:5,122:5,121:5,122:5,,,
122,122:6,122:6,121:6,122:6,,,
122,122:7,122:7,121:7,122:7,,,
122,122:8,122:8,121:8,122:8,,,
122,122:9,122:9,121:9,122:9,,,
123,123:0-123:1,123:0-123:1,122:1,123:0,,,
123,123:2,123:2,122:2,123:2,,,
123,123:3,123:3,122:3,123:3,,,
123,123:4,123:4,122:4,123:4,,,
124,124:0-124:1,124:0-124:1,123:1,124:0,,,
124,124:2,124:2,123:2,124:2,,,
124,124:3,124:3,123:3,124:3,,,
124,124:4,124:4,123:4,124:4,,,
124,124:5,124:5,123:5,124:5,,,
124,124:6,124:6,123:6,124:6,,,
124,124:7,124:7,123:7,124:7,,,
124,124:8,124:8,123:8,124:8,,,
125,125:0-125:1,125:0-125:1,124:1,125:0,,,
125,125:2,125:2,124:2,125:2,,,
125,125:3,125:3,124:3,125:3,,,
125,125:4,125:4,124:4,125:4,,,
125,125:5,125:5,124:5,125:5,,,
126,126:0-126:1,126:0-126:1,125:1,126:0,,,
126,126:2,126:2,125:2,126:2,,,
126,126:3,126:3,125:3,126:3,,,
126,126:4,126:4,125:4,126:4,,,
126,126:5,126:5,125:5,126:5,,,
126,126:6,126:6,125:6,126:6,,,
127,127:0-127:1,127:0-127:1,126:1,,,,
127,127:2,127:2,126:2,,,,
127,127:3,127:3,126:3,,,,
127,127:4,127:4,126:4,,,,
127,127:5,127:5,126:5,,,,
128,128:0-128:1,128:0-128:1,127:1,,,,
128,128:2,128:2,127:2,,,,
128,128:3,128:3,127:3,,,,
128,128:4,128:4,127:4,,,,
128,128:5,128:5,127:5,,,,
128,128:6,128:6,127:6,,,,
129,129:0-129:1,129:0-129:1,128:1,,,,
129,129:2,129:2,128:2,,,,
129,129:3,129:3,128:3,,,,
129,129:4,129:4,128:4,,,,
129,129:5,129:5,128:5,,,,
129,129:6,129:6,128:6,,,,
129,129:7,129:7,128:7,,,,
129,129:8,129:8,128:8,,,,
130,130:0-130:1,130:0-130:1,129:1,,,,
130,130:2,130:2,129:2,,,,
130,130:3,130:3,129:3,,,,
130,130:4,130:4,129:4,,,,
130,130:5,130:5,129:5,,,,
130,130:6,130:6,129:6,,,,
130,130:7,130:7,129:7,,,,
130,130:8,130:8,129:8,,,,
131,131:0-131:1,131:0-131:1,130:1,,,,
131,131:2,131:2,130:2,,,,
131,131:3,131:3,130:3,,,,
132,132:0-132:1,132:0-132:1,131:1,,,,
132,132:2,132:2,131:2,,,,
132,132:3,132:3,131:3,,,,
132,132:4,132:4,131:4,,,,
132,132:5,132:5,131:5,,,,
132,132:6,132:6,131:6,,,,
132,132:7,132:7,131:7,,,,
132,132:8,132:8,131:8,,,,
132,132:9,132:9,131:9,,,,
132,132:10,132:10,131:10,,,,
132,132:11,132:11,131:11,,,,
132,132:12,132:12,131:12,,,,
132,132:13,132:13,131:13,,,,
132,132:14,132:14,131:14,,,,
132,132:15,132:15,131:15,,,,
132,132:16,132:16,131:16,,,,
132,132:17,132:17,131:17,,,,
132,132:18,132:18,131:18,,,,
133,133:0-133:1,133:0-133:1,132:1,,,,
133,133:2,133:2,132:2,,,,
133,133:3,133:3,132:3,,,,
134,134:0-134:1,134:0-134:1,133:1,,,,
134,134:2,134:2,133:2,,,,
134,134:3,134:3,133:3,,,,
134,135:1,135:1,133:4,,,,
135,135:1,135:1,134:1,135:1,,,
135,135:2,135:2,134:2,135:2,,,
135,135:3,135:3,134:3,135:3,,,
135,135:4,135:4,134:4,135:4,,,
135,135:5,135:5,134:5,135:5,,,
135,135:6,135:6,134:6,135:6,,,
135,135:7,135:7,134:7,135:7,,,
135,135:8,135:8,134:8,135:8,,,
135,135:9,135:9,134:9,135:9,,,
135,135:10,135:10,134:10,135:10,,,
135,135:11,135:11,134:11,135:11,,,
135,135:12,135:12,134:12,135:12,,,
135,135:13,135:13,134:13,135:13,,,
135,135:14,135:14,134:14,135:14,,,
135,135:15,135:15,134:15,135:15,,,
135,135:16,135:16,134:16,135:16,,,
135,135:17,135:17,134:17,135:17,,,
135,135:18,135:18,134:18,135:18,,,
135,135:19,135:19,134:19,135:19,,,
135,135:20,135:20,134:20,135:20,,,
135,135:21,135:21,134:21,135:21,,,
136,136:1,136:1,135:1,136:1,,,
136,136:2,136:2,135:2,136:2,,,
136,136:3,136:3,135:3,136:3,,,
136,136:4,136:4,135:4,136:4,,,
136,136:5,136:5,135:5,136:5,,,
136,136:6,136:6,135:6,136:6,,,
136,136:7,136:7,135:7,136:7,,,
136,136:8,136:8,135:8,136:8,,,
136,136:9,136:9,135:9,136:9,,,
136,136:10,136:10,135:10,136:10,,,
136,136:11,136:11,135:11,136:11,,,
136,136:12,136:12,135:12,136:12,,,
136,136:13,136:13,135:13,136:13,,,
136,136:14,136:14,135:14,136:14,,,
136,136:15,136:15,135:15,136:15,,,
136,136:16,136:16,135:16,136:16,,,
136,136:17,136:17,135:17,136:17,,,
136,136:18,136:18,135:18,136:18,,,
136,136:19,136:19,135:19,136:19,,,
136,136:20,136:20,135:20,136:20,,,
136,136:21,136:21,135:21,136:21,,,
136,136:22,136:22,135:22,136:22,,,
136,136:23,136:23,135:23,136:23,,,
136,136:24,136:24,135:24,136:24,,,
136,136:25,136:25,135:25,136:25,,,
136,136:26,136:26,135:26,136:26,,,
137,137:1,137:1,136:1,137:1,,,
137,137:2,137:2,136:2,137:2,,,
137,137:3,137:3,136:3,137:3,,,
137,137:4,137:4,136:4,137:4,,,
137,137:5,137:5,136:5,137:5,,,
137,137:6,137:6,136:6,137:6,,,
137,137:7,137:7,136:7,137:7,,,
137,137:8,137:8,136:8,137:8,,,
137,137:9,137:9,136:9,137:9,,,
138,138:0-138:1,138:0-138:1,137:1,138:0,,,
138,138:2,138:2,137:2,138:2,,,
138,138:3,138:3,137:3,138:3,,,
138,138:4,138:4,137:4,138:4,,,
138,138:5,138:5,137:5,138:5,,,
138,138:6,138:6,137:6,138:6,,,
138,138:7,138:7,137:7,138:7,,,
138,138:8,138:8,137:8,138:8,,,
139,139:0-139:1,139:0-139:1,138:1,139:0,,,
139,139:2,139:2,138:2,139:2,,,
139,139:3,139:3,138:3,139:3,,,
139,139:4,139:4,138:4,139:4,,,
139,139:5,139:5,138:5,139:5,,,
139,139:6,139:6,138:6,139:6,,,
139,139:7,139:7,138:7,139:7,,,
139,139:8,139:8,138:8,139:8,,,
139,139:9,139:9,138:9,139:9,,,
139,139:10,139:10,138:10,139:10,,,
139,139:11,139:11,138:11,139:11,,,
139,139:12,139:12,138:12,139:12,,,
139,139:13,139:13,138:13,139:13,,,
139,139:14,139:14,138:14,139:14,,,
139,139:15,139:15,138:15,139:15,,,
139,139:16,139:16,138:16,139:16,,,
139,139:17,139:17,138:17,139:17,,,
139,139:18,139:18,138:18,139:18,,,
139,139:19,139:19,138:19,139:19,,,
139,139:20,139:20,138:20,139:20,,,
139,139:21,139:21,138:21,139:21,,,
139,139:22,139:22,138:22,139:22,,,
139,139:23,139:23,138:23,139:23,,,
139,139:24,139:24,138:24,139:24,,,
140,140:0,140:0,139:1,140:0,,,
140,140:1,140:1,139:2,140:1,,,
140,140:2,140:2,139:3,140:2,,,
140,140:3,140:3,139:4,140:3,,,
140,140:4,140:4,139:5,140:4,,,
140,140:5,140:5,139:6,140:5,,,
140,140:6,140:6,139:7,140:6,,,
140,140:7,140:7,139:8,140:7,,,
140,140:8,140:8,139:9,140:8,,,
140,140:9,140:9,139:10,140:9,,,
140,140:10,140:10,139:11,140:10,,,
140,140:11,140:11,139:12,140:11,,,
140,140:12,140:12,139:13,140:12,,,
140,140:13,140:13,139:14,140:13,,,
141,141:0-141:1,141:0-141:1,140:1,141:0,,,
141,141:2,141:2,140:2,141:2,,,
141,141:3,141:3,140:3,141:3,,,
141,141:4,141:4,140:4,141:4,,,
141,141:5,141:5,140:5,141:5,,,
141,141:6,141:6,140:6,141:6,,,
141,141:7,141:7,140:7,141:7,,,
141,141:8,141:8,140:8,141:8,,,
141,141:9,141:9,140:9,141:9,,,
141,141:10,141:10,140:10,141:10,,,
142,142:0,142:0,141:1,142:0,,,
142,142:1,142:1,141:2,142:1,,,
142,142:2,142:2,141:3,142:2,,,
142,142:3,142:3,141:4,142:3,,,
142,142:4,142:4,141:5,142:4,,,
142,142:5,142:5,141:6,142:5,,,
142,142:6,142:6,141:7,142:6,,,
142,142:7,142:7,141:8,142:7,,,
143,143:0-143:1,143:0-143:1,142:1,143:0,,,
143,143:2,143:2,142:2,143:2,,,
143,143:3,143:3,142:3,143:3,,,
143,143:4,143:4,142:4,143:4,,,
143,143:5,143:5,142:5,143:5,,,
143,143:6,143:6,142:6,143:6,,,
143,143:7,143:7,142:7,143:7,,,
143,143:8,143:8,142:8,143:8,,,
143,143:9,143:9,142:9,143:9,,,
143,143:10,143:10,142:10,143:10,,,
143,143:11,143:11,142:11,143:11,,,
143,143:12,143:12,142:12,143:12,,,
144,144:0-144:1,144:0-144:1,143:1,144:0,,,
144,144:2,144:2,143:2,144:2,,,
144,144:3,144:3,143:3,144:3,,,
144,144:4,144:4,143:4,144:4,,,
144,144:5,144:5,143:5,144:5,,,
144,144:6,144:6,143:6,144:6,,,
144,144:7,144:7,143:7,144:7,,,
144,144:8,144:8,143:8,144:8,,,
144,144:9,144:9,143:9,144:9,,,
144,144:10,144:10,143:10,144:10,,,
144,144:11,144:11,143:11,144:11,,,
144,144:12,144:12,143:12,144:12,,,
144,144:13,144:13,143:13,144:13,,,
144,144:14,144:14,143:14,144:14,,,
144,144:15,144:15,143:15,144:15,,,
145,145:0-145:1,145:0-145:1,144:1,145:0,,,
145,145:2,145:2,144:2,145:2,,,
145,145:3,145:3,144:3,145:3,,,
145,145:4,145:4,144:4,145:4,,,
145,145:5,145:5,144:5,145:5,,,
145,145:6,145:6,144:6,145:6,,,
145,145:7,145:7,144:7,145:7,,,
145,145:8,145:8,144:8,145:8,,,
145,145:9,145:9,144:9,145:9,,,
145,145:10,145:10,144:10,145:10,,,
145,145:11,145:11,144:11,145:11,,,
145,145:12,145:12,144:12,145:12,,,
145,145:13,145:13,144:13-144:13a,145:13,,,
145,145:14,145:14,144:14,145:14,,,
145,145:15,145:15,144:15,145:15,,,
145,145:16,145:16,144:16,145:16,,,
145,145:17,145:17,144:17,145:17,,,
145,145:18,145:18,144:18,145:18,,,
145,145:19,145:19,144:19,145:19,,,
145,145:20,145:20,144:20,145:20,,,
145,145:21,145:21,144:21,145:21,,,
146,146:1,146:1,145:1,146:1,,,
146,146:2,146:2,145:2,146:2,,,
146,146:3,146:3,145:3,146:3,,,
146,146:4,146:4,145:4,146:4,,,
146,146:5,146:5,145:5,146:5,,,
146,146:6,146:6,145:6,146:6,,,
146,146:7,146:7,145:7,146:7,,,
146,146:8,146:8,145:8,146:8,,,
146,146:9,146:9,145:9,146:9,,,
146,146:10,146:10,145:10,146:10,,,
147,147:1,147:1,146:1,147:1,,,
147,147:2,147:2,146:2,147:2,,,
147,147:3,147:3,146:3,147:3,,,
147,147:4,147:4,146:4,147:4,,,
147,147:5,147:5,146:5,147:5,,,
147,147:6,147:6,146:6,147:6,,,
147,147:7,147:7,146:7,147:7,,,
147,147:8,147:8,146:8,147:8,,,
147,147:9,147:9,146:9,147:9,,,
147,147:10,147:10,146:10,147:10,,,
147,147:11,147:11,146:11,147:11,,,
147,147:12,147:12,147:1,147:12,,,
147,147:13,147:13,147:2,147:13,,,
147,147:14,147:14,147:3,147:14,,,
147,147:15,147:15,147:4,147:15,,,
147,147:16,147:16,147:5,147:16,,,
147,147:17,147:17,147:6,147:17,,,
147,147:18,147:18,147:7,147:18,,,
147,147:19,147:19,147:8,147:19,,,
147,147:20,147:20,147:9,147:20,,,
148,148:1,148:1,148:1,148:1,,,
148,148:2,148:2,148:2,148:2,,,
148,148:3,148:3,148:3,148:3,,,
148,148:4,148:4,148:4,148:4,,,
148,148:5,148:5,148:5,148:5,,,
148,148:6,148:6,148:6,148:6,,,
148,148:7,148:7,148:7,148:7,,,
148,148:8,148:8,148:8,148:8,,,
148,148:9,148:9,148:9,148:9,,,
148,148:10,148:10,148:10,148:10,,,
148,148:11,148:11,148:11,148:11,,,
148,148:12,148:12,148:12,148:12,,,
148,148:13,148:13,148:13,148:13,,,
148,148:14,148:14,148:14,148:14,,,
149,149:1,149:1,149:1,149:1,,,
149,149:2,149:2,149:2,149:2,,,
149,149:3,149:3,149:3,149:3,,,
149,149:4,149:4,149:4,149:4,,,
149,149:5,149:5,149:5,149:5,,,
149,149:6,149:6,149:6,149:6,,,
149,149:7,149:7,149:7,149:7,,,
149,149:8,149:8,149:8,149:8,,,
149,149:9,149:9,149:9,149:9,,,
150,150:1,150:1,150:1,150:1,,,
150,150:2,150:2,150:2,150:2,,,
150,150:3,150:3,150:3,150:3,,,
150,150:4,150:4,150:4,150:4,,,
150,150:5,150:5,150:5,150:5,,,
150,150:6,150:6,150:6,150:6,,,
151,,,151:1,,,,
151,,,151:2,,,,
151,,,151:3,,,,
151,,,151:4,,,,
151,,,151:5,,,,
151,,,151:6,,,,
151,,,151:7,,,,
