ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
22,22:23,22:23,21:24,22:23,,,
22,22:24,22:24,21:25,22:24,,,
22,22:25,22:25,21:26,22:25,,,
22,22:26,22:26,21:27,22:26,,,
22,22:27,22:27,21:28,22:27,,,
22,22:28,22:28,21:29,22:28,,,
22,22:29,22:29,21:30,22:29,,,
22,22:30,22:30,21:31,22:30,,,
22,22:31,22:31,21:32,22:31,,,
23,23:0-23:1,23:0-23:1,22:1,23:0,,,
23,23:2,23:2,22:2,23:2,,,
23,23:3,23:3,22:3,23:3,,,
23,23:4,23:4,22:4,23:4,,,
23,23:5,23:5,22:5,23:5,,,
23,23:6,23:6,22:6,23:6,,,
24,24:0-24:1,24:0-24:1,23:1,24:0,,,
24,24:2,24:2,23:2,24:2,,,
24,24:3,24:3,23:3,24:3,,,
24,24:4,24:4,23:4,24:4,,,
24,24:5,24:5,23:5,24:5,,,
24,24:6,24:6,23:6,24:6,,,
24,24:7,24:7,23:7,24:7,,,
24,24:8,24:8,23:8,24:8,,,
24,24:9,24:9,23:9,24:9,,,
24,24:10,24:10,23:10,24:10,,,
25,25:0-25:1,25:0-25:1,24:1,25:0,,,
25,25:2,25:2,24:2,25:2,,,
25,25:3,25:3,24:3,25:3,,,
25,25:4,25:4,24:4,25:4,,,
25,25:5,25:5,24:5,25:5,,,
25,25:6,25:6,24:6,25:6,,,
25,25:7,25:7,24:7,25:7,,,
25,25:8,25:8,24:8,25:8,,,
25,25:9,25:9,24:9,25:9,,,
25,25:10,25:10,24:10,25:10,,,
25,25:11,25:11,24:11,25:11,,,
25,25:12,25:12,24:12,25:12,,,
25,25:13,25:13,24:13,25:13,,,
25,25:14,25:14,24:14,25:14,,,
25,25:15,25:15,24:15,25:15,,,
25,25:16,25:16,24:16,25:16,,,
25,25:17,25:17,24:17,25:17,,,
25,25:18,25:18,24:18,25:18,,,
25,25:19,25:19,24:19,25:19,,,
25,25:20,25:20,24:20,25:20,,,
25,25:21,25:21,24:21,25:21,,,
25,25:22,25:22,24:22,25:22,,,
26,26:0-26:1,26:0-26:1,25:1,26:0,,,
26,26:2,26:2,25:2,26:2,,,
26,26:3,26:3,25:3,26:3,,,
26,26:4,26:4,25:4,26:4,,,
26,26:5,26:5,25:5,26:5,,,
26,26:6,26:6,25:6,26:6,,,
26,26:7,26:7,25:7,26:7,,,
26,26:8,26:8,25:8,26:8,,,
26,26:9,26:9,25:9,26:9,,,
26,26:10,26:10,25:10,26:10,,,
26,26:11,26:11,25:11,26:11,,,
26,26:12,26:12,25:12,26:12,,,
27,27:0-27:1,27:0-27:1,26:1,27:0,,,
27,27:2,27:2,26:2,27:2,,,
27,27:3,27:3,26:3,27:3,,,
27,27:4,27:4,26:4,27:4,,,
27,27:5,27:5,26:5,27:5,,,
27,27:6,27:6,26:6,27:6,,,
27,27:7,27:7,26:7,27:7,,,
27,27:8,27:8,26:8,27:8,,,
27,27:9,27:9,26:9,27:9,,,
27,27:10,27:10,26:10,27:10,,,
27,27:11,27:11,26:11,27:11,,,
27,27:12,27:12,26:12,27:12,,,
27,27:13,27:13,26:13,27:13,,,
27,27:14,27:14,26:14,27:14,,,
28,28:0-28:1,28:0-28:1,27:1,28:0,,,
28,28:2,28:2,27:2,28:2,,,
28,28:3,28:3,27:3,28:3,,,
28,28:4,28:4,27:4,28:4,,,
28,28:5,28:5,27:5,28:5,,,
28,28:6,28:6,27:6,28:6,,,
28,28:7,28:7,27:7,28:7,,,
28,28:8,28:8,27:8,28:8,,,
28,28:9,28:9,27:9,28:9,,,
29,29:0-29:1,29:0-29:1,28:1,29:0,,,
29,29:2,29:2,28:2,29:2,,,
29,29:3,29:3,28:3,29:3,,,
29,29:4,29:4,28:4,29:4,,,
29,29:5,29:5,28:5,29:5,,,
29,29:6,29:6,28:6,29:6,,,
29,29:7,29:7,28:7,29:7,,,
29,29:8,29:8,28:8,29:8,,,
29,29:9,29:9,28:9,29:9,,,
29,29:10,29:10,28:10,29:10,,,
29,29:11,29:11,28:11,29:11,,,
30,30:0,30:0,29:1,30:0,,,
30,30:1,30:1,29:2,30:1,,,
30,30:2,30:2,29:3,30:2,,,
30,30:3,30:3,29:4,30:3,,,
30,30:4,30:4,29:5,30:4,,,
30,30:5,30:5,29:6,30:5,,,
30,30:6,30:6,29:7,30:6,,,
30,30:7,30:7,29:8,30:7,,,
30,30:8,30:8,29:9,30:8,,,
30,30:9,30:9,29:10,30:9,,,
30,30:10,30:10,29:11,30:10,,,
30,30:11,30:11,29:12,30:11,,,
30,30:12,30:12,29:13,30:12,,,
31,31:0,31:0,30:1,31:0,,,
31,31:1,31:1,30:2,31:1,,,
31,31:2,31:2,30:3,31:2,,,
31,31:3,31:3,30:4,31:3,,,
31,31:4,31:4,30:5,31:4,,,
31,31:5,31:5,30:6,31:5,,,
31,31:6,31:6,30:7,31:6,,,
31,31:7,31:7,30:8,31:7,,,
